GEOID,median_home_value,median_gross_rent,median_owner_costs_mortgage,B25070_004E,B25070_005E,B25070_006E,B25070_007E,B25070_001E,B25091_005E,B25091_006E,B25091_007E,B25091_008E,B25091_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,gini,B19057_002E,B19057_001E,B25022_002E,B25022_001E,B25034_002E,B25034_001E,B03003_003E,B03003_001E,B07001_017E,B07001_001E,B11001_003E,B11001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001E,B25014_003E,B25014_004E,B25014_001E,n_total_units,pct_rent_30_34,pct_rent_35_39,pct_rent_40_49,pct_rent_50plus,pct_owner_cost_30_34,pct_owner_cost_35_39,pct_owner_cost_40_49,pct_owner_cost_50plus,unemployment_rate,poverty_rate,public_assistance_rate,hud_rate,oldhouses_rate,hispanic_rate,imigration_rate,1phouseholds_rate,n_age_65plus,n_age_under18,over65_rate,under18_rate,n_overcrowded_units,overcrowded_rate,area_km2,housing_density,geometry,tract,year,city,lacity,community_name,spa,sd,cd,ca_ssd,ca_sad,us_cd,demogsurvct,shelthmisct,sheltercountany,streetcountany,totstreetsingadult,totstreetfamhh,totstreetfammem,totsafeparksingadult,totsafeparkfamhh,totsafeparkfammem,totcars,totvans,totcampers,tottents,totencamp,totcarpeople,totvanpeople,totcamperpeople,tottentpeople,totencamppeople,famcarhh,famvanhh,famcamperhh,famtenthh,famencamphh,famcarpeople,famvanpeople,famcamperpeople,famtentpeople,famencamppeople,indcarpeople,indvanpeople,indcamperpeople,indtentpeople,indencamppeople,totesadultsingadult,totesadultfamhh,totesadultfammem,totesyouthsingyouth,totesyouthfamhh,totesyouthfammem,totesyouthunaccyouth,totthadultsingadult,totthadultfamhh,totthadultfammem,totthyouthsingyouth,totthyouthfamhh,totthyouthfammem,totthyouthunaccyouth,totshadultsingadult,totshadultfamhh,totshadultfammem,totshyouthsingyouth,totshyouthfamhh,totshyouthfammem,totshyouthunaccyouth,totunsheltpeople,totespeople,totthpeople,totshpeople,totsheltpeople,totpeople,tract_split_base,demogsurveyany,totmss,totmsspeople,fammsshh,fammsspeople,indmsspeople,n_ArtsRecreation,n_Education,n_Hospitals,n_MunicipalServices,n_PhysicalFeatures,n_PublicSafety,n_Transportation,n_Pantry,n_Parking,total_vehicle,total_unsheltered,non_vehicle_unsheltered,lon,lat
06037101110,502200.0,1723.0,2217.0,57,117,34,59,627,81,40,57,110,878,110,2099,434,3845,0.3977,78,1505,4712.0,7029.0,0,1629,963,3923,3399,3902,731,1505,83,123,14,43,28,2,73,105,56,54,84,37,111,73,115,176,88,80,89,6,3923,557,321,1505,1629,9.090909090909092,18.660287081339714,5.422647527910686,9.409888357256778,9.225512528473805,4.555808656036446,6.492027334851937,12.52847380410023,5.240590757503573,11.28738621586476,5.1827242524916945,67.0365628112107,0.0,24.547540147846036,87.109174782163,48.57142857142857,702.0,738.0,17.89446851899057,18.812133571246495,878.0,58.33887043189369,,,,101110,2020,Los Angeles,1.0,Tujunga,2.0,5.0,7.0,25.0,39.0,28.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,5.0,10.0,0.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
06037101122,658800.0,2256.0,2373.0,0,47,0,52,336,94,75,175,99,1005,210,2287,181,4086,0.3962,10,1341,6410.0,7981.0,6,1406,182,4119,3922,4092,774,1341,35,19,63,93,43,117,40,92,120,103,106,46,46,87,99,8,54,117,149,46,4119,613,382,1341,1406,0.0,13.988095238095239,0.0,15.476190476190476,9.35323383084577,7.462686567164178,17.412935323383085,9.850746268656717,9.182334936598163,4.429760156632404,0.7457121551081283,80.31574990602681,0.42674253200568996,4.41854819130857,95.8455522971652,57.71812080536913,877.0,606.0,21.291575625151733,14.712308812818645,995.0,74.19835943325876,,,,101122,2020,Los Angeles,1.0,Tujunga,2.0,5.0,7.0,25.0,39.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.607,3.705,0.0,0.0,0.0,0.063,0.086,0.0,0.0,0.0,0.218,0.329,0.0,0.0,0.0,1.39,3.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.312,0.0,0.0,0.0,0.0,5.312,,,,,,,,6.0,10.0,0.0,1.0,20.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,,
06037101220,550800.0,1291.0,2060.0,47,58,155,95,819,77,126,55,24,611,225,2017,638,3775,0.4708,86,1430,2897.0,5792.0,0,1462,1521,3775,3409,3756,674,1430,31,60,85,36,30,35,17,49,65,56,62,10,69,91,117,36,57,70,227,73,3775,367,188,1430,1462,5.738705738705739,7.0818070818070815,18.925518925518926,11.5995115995116,12.60229132569558,20.621931260229132,9.00163666121113,3.927986906710311,11.155180961824492,16.90066225165563,6.013986013986014,50.017265193370164,0.0,40.29139072847682,90.76144834930777,47.13286713286713,536.0,740.0,14.198675496688743,19.602649006622517,555.0,38.81118881118881,,,,101220,2020,Los Angeles,1.0,Tujunga,2.0,5.0,7.0,25.0,39.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,15.912,0.0,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.0,1.241,0.0,0.0,0.0,0.0,14.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.912,0.0,0.0,0.0,0.0,15.912,,,,,,,,3.0,12.0,0.0,1.0,14.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,,
06037101221,461600.0,1416.0,1833.0,82,65,127,95,1205,52,18,47,20,308,113,1744,774,3757,0.4399,47,1513,1387.0,5201.0,0,1567,1182,3787,3563,3787,764,1513,33,11,88,0,0,193,16,25,77,0,107,22,72,74,121,57,53,96,89,114,3787,187,112,1513,1567,6.804979253112033,5.394190871369295,10.53941908713693,7.883817427385892,16.883116883116884,5.844155844155844,15.259740259740258,6.493506493506493,6.479357798165138,20.60154378493479,3.1064111037673494,26.6679484714478,0.0,31.212041193556907,94.08502772643253,50.49570389953735,572.0,676.0,15.10430419857407,17.850541325587535,299.0,19.762062128222073,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,0.0,1.0,11.0,1.0,0.0,1.0,0.0,,,,,
06037101222,378400.0,1330.0,1732.0,107,9,37,0,859,0,38,0,28,110,153,1402,1033,2717,0.5239,60,969,454.0,3473.0,0,986,1182,2717,2551,2708,455,969,0,2,37,66,31,29,116,29,29,10,57,0,201,64,63,0,25,115,52,30,2717,43,67,969,986,12.456344586728754,1.0477299185098952,4.307334109429569,0.0,0.0,34.54545454545455,0.0,25.454545454545453,10.912981455064195,38.01987486198012,6.191950464396285,13.07227181111431,0.0,43.50386455649613,94.20236336779911,46.95562435500516,406.0,550.0,14.94295178505705,20.242914979757085,110.0,11.351909184726521,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,1.0,12.0,1.0,0.0,1.0,0.0,,,,,
06037101300,643200.0,2365.0,2006.0,45,19,15,9,187,120,72,44,147,1232,87,1782,298,3696,0.3922,24,1419,7032.0,7770.0,7,1560,360,3741,3516,3731,829,1419,30,179,63,71,33,71,133,66,55,136,30,175,45,104,70,23,30,18,96,25,3741,885,314,1419,1560,24.06417112299465,10.16042780748663,8.02139037433155,4.81283422459893,9.740259740259742,5.844155844155844,3.571428571428571,11.931818181818182,4.882154882154882,8.062770562770563,1.6913319238900635,90.5019305019305,0.4487179487179487,9.623095429029672,94.23746984722594,58.42142353770261,1042.0,411.0,27.85351510291366,10.986367281475541,1199.0,84.49612403100775,,,,101300,2020,Los Angeles,1.0,Tujunga,2.0,5.0,7.0,25.0,39.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.989,0.0,1.42,0.0,0.0,0.043,0.0,0.019,0.0,0.0,0.155,0.0,0.066,0.0,0.0,1.834,0.0,1.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.409,0.0,0.0,0.0,0.0,3.409,,,,,,,,2.0,12.0,0.0,0.0,21.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,,
06037101400,554300.0,1337.0,1888.0,9,66,16,54,404,82,114,108,82,932,114,1734,199,3233,0.417,52,1336,5125.0,6850.0,7,1548,512,3246,3074,3208,668,1336,27,45,94,48,24,50,53,103,108,54,39,22,40,85,27,64,158,41,64,59,3246,626,292,1336,1548,2.2277227722772275,16.33663366336634,3.9603960396039604,13.366336633663368,8.798283261802576,12.231759656652361,11.587982832618025,8.798283261802576,6.5743944636678195,6.155273739560779,3.8922155688622757,74.81751824817519,0.45219638242894056,15.773259396179915,95.82294264339151,50.0,667.0,538.0,20.548367221195317,16.574245224892177,918.0,68.7125748502994,,,,101400,2020,Los Angeles,1.0,Tujunga,2.0,5.0,7.0,25.0,39.0,28.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.215,3.704,1.989,0.0,1.42,0.126,0.086,0.043,0.0,0.019,0.435,0.33,0.155,0.0,0.066,2.779,3.376,1.834,0.0,1.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.328,0.0,0.0,0.0,0.0,13.328,,,,,,,,4.0,18.0,0.0,1.0,21.0,2.0,2.0,1.0,0.0,5.0,6.0,1.0,,
06037102103,658200.0,1769.0,2566.0,33,8,17,47,299,25,53,7,3,412,73,918,69,1920,0.4383,58,711,2189.0,3539.0,42,777,172,1920,1732,1878,334,711,11,13,30,18,11,17,46,0,39,19,24,15,99,20,66,14,79,143,39,39,1920,209,203,711,777,11.036789297658862,2.6755852842809364,5.68561872909699,15.719063545150503,6.067961165048544,12.864077669902912,1.6990291262135921,0.7281553398058253,7.952069716775599,3.5937499999999996,8.157524613220815,61.85363096920034,5.405405405405405,8.958333333333334,92.22577209797656,46.976090014064695,243.0,499.0,12.65625,25.989583333333332,412.0,57.94655414908579,,,,102103,2020,Los Angeles,1.0,Shadow Hills,2.0,5.0,2.0,25.0,39.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,10.0,0.0,1.0,9.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,,
06037102104,630200.0,2776.0,2023.0,31,25,51,15,289,48,80,115,56,1051,151,2013,377,3956,0.4667,59,1340,6237.0,7732.0,0,1406,519,4187,3722,4153,743,1340,0,52,71,177,15,14,45,36,221,32,72,54,175,60,127,0,59,107,70,133,4187,609,442,1340,1406,10.726643598615917,8.650519031141869,17.647058823529413,5.190311418685121,4.567078972407232,7.611798287345385,10.94196003805899,5.32825880114177,7.501241927471436,9.529828109201214,4.402985074626866,80.66476978789446,0.0,12.395509911631239,89.62196002889478,55.44776119402985,789.0,731.0,18.844041079531884,17.458801050871745,1051.0,78.43283582089552,,,,102104,2020,Los Angeles,1.0,Shadow Hills,2.0,5.0,2.0,25.0,39.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.215,1.852,0.0,0.0,0.0,0.126,0.043,0.0,0.0,0.0,0.435,0.165,0.0,0.0,0.0,2.779,1.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.067,0.0,0.0,0.0,0.0,5.067,,,,,,,,2.0,13.0,0.0,1.0,13.0,3.0,4.0,0.0,54.0,3.0,3.0,0.0,,
06037102105,545400.0,1877.0,2397.0,20,20,29,14,240,13,71,26,43,303,77,1164,184,1797,0.4262,13,543,1656.0,2619.0,0,572,1207,1797,1672,1751,337,543,9,48,16,0,21,21,4,34,14,17,11,14,43,38,54,40,111,18,10,28,1797,129,165,543,572,8.333333333333332,8.333333333333332,12.083333333333334,5.833333333333333,4.29042904290429,23.432343234323433,8.58085808580858,14.19141914191419,6.61512027491409,10.239287701725097,2.394106813996317,63.230240549828174,0.0,67.16750139120758,95.48829240434038,62.06261510128913,209.0,342.0,11.630495269894269,19.031719532554256,294.0,54.14364640883977,,,,102105,2020,Los Angeles,1.0,Sun Valley,2.0,5.0,2.0,18.0,39.0,29.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.852,11.934,0.0,0.0,0.0,0.043,0.258,0.0,0.0,0.0,0.165,0.931,0.0,0.0,0.0,1.688,11.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.787,0.0,0.0,0.0,0.0,14.787,,,,,,,,2.0,9.0,0.0,1.0,8.0,3.0,3.0,0.0,53.0,7.0,7.0,0.0,,
