tract_split_base,year,lacity,spa,sd,cd,ca_ssd,ca_sad,us_cd,demogsurvct,shelthmisct,demogsurveyany,sheltercountany,streetcountany,totstreetsingadult,totstreetfamhh,totstreetfammem,totsafeparksingadult,totsafeparkfamhh,totsafeparkfammem,totcars,totvans,totcampers,tottents,totmss,totcarpeople,totvanpeople,totcamperpeople,tottentpeople,totmsspeople,famcarhh,famvanhh,famcamperhh,famtenthh,fammsshh,famcarpeople,famvanpeople,famcamperpeople,famtentpeople,fammsspeople,indcarpeople,indvanpeople,indcamperpeople,indtentpeople,indmsspeople,totesadultsingadult,totesadultfamhh,totesadultfammem,totesyouthsingyouth,totesyouthfamhh,totesyouthfammem,totesyouthunaccyouth,totthadultsingadult,totthadultfamhh,totthadultfammem,totthyouthsingyouth,totthyouthfamhh,totthyouthfammem,totthyouthunaccyouth,totshadultsingadult,totshadultfamhh,totshadultfammem,totshyouthsingyouth,totshyouthfamhh,totshyouthfammem,totshyouthunaccyouth,totunsheltpeople,totespeople,totthpeople,totshpeople,totsheltpeople,totpeople,GEOID
101110,2022,1,2,5,7,25,39,28,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0.0,2.98,1.456,0.0,0.0,0.0,0.037,0.019,0.0,0.0,0.0,0.114,0.077,0.0,0.0,0.0,2.866,1.378,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.436,0,0,0,0,4.436,06037101110
101122,2022,1,2,5,7,25,39,28,0,0,0,0,2,3,0,0,0,0,0,1,1,1,0,0,1.475,1.49,1.456,0.0,0.0,0.047,0.018,0.019,0.0,0.0,0.152,0.057,0.077,0.0,0.0,1.323,1.433,1.378,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,0,7.42,06037101122
101210,2022,1,2,5,7,25,39,28,0,0,0,0,1,5,0,0,0,0,0,0,2,1,0,0,0.0,2.98,1.456,0.0,0.0,0.0,0.037,0.019,0.0,0.0,0.0,0.114,0.077,0.0,0.0,0.0,2.866,1.378,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.436,0,0,0,0,9.436,06037101210
101220,2022,1,2,5,7,25,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037101220
101300,2022,1,2,5,7,25,39,28,10,0,1,0,2,4,0,0,0,0,0,3,2,4,0,1,4.424,2.98,5.823,0.0,1.685,0.14,0.037,0.076,0.0,0.004,0.456,0.114,0.309,0.0,0.011,3.969,2.866,5.513,0.0,1.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.912,0,0,0,0,18.912,06037101300
101400,2022,1,2,5,7,25,39,28,0,0,0,0,2,26,0,0,0,0,0,3,0,6,7,2,4.424,0.0,8.734,8.811,3.37,0.14,0.0,0.114,0.014,0.008,0.456,0.0,0.465,0.046,0.022,3.969,0.0,8.269,8.764,3.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.339,0,0,0,0,51.339,06037101400
102103,2022,1,2,5,2,25,39,28,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,06037102103
102104,2022,1,2,5,2,25,39,28,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0.0,0.0,2.911,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,2.756,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.911,0,0,0,0,4.911,06037102104
102105,2022,1,2,5,2,18,39,29,1,0,1,0,1,0,0,0,0,0,0,2,0,9,2,0,2.95,0.0,13.101,2.517,0.0,0.094,0.0,0.171,0.004,0.0,0.304,0.0,0.697,0.013,0.0,2.646,0.0,12.404,2.504,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.568,0,0,0,0,18.568,06037102105
102107,2022,1,2,5,7,25,39,28,0,0,0,0,1,6,0,0,0,0,0,4,0,7,2,2,5.899,0.0,10.189,2.517,3.37,0.187,0.0,0.133,0.004,0.008,0.608,0.0,0.542,0.013,0.023,5.292,0.0,9.647,2.504,3.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.976,0,0,0,0,27.976,06037102107
103101,2022,1,2,5,7,25,39,28,0,0,0,0,2,7,0,0,0,0,0,0,0,0,5,7,0.0,0.0,0.0,6.293,11.796,0.0,0.0,0.0,0.01,0.026,0.0,0.0,0.0,0.033,0.079,0.0,0.0,0.0,6.261,11.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.09,0,0,0,0,25.09,06037103101
103102,2022,1,2,5,7,25,39,28,0,0,0,0,2,6,0,0,0,0,0,0,0,1,2,1,0.0,0.0,1.456,2.517,1.685,0.0,0.0,0.019,0.004,0.004,0.0,0.0,0.077,0.013,0.011,0.0,0.0,1.378,2.504,1.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.658,0,0,0,0,11.658,06037103102
