tract,Year,City,LACity,Community_Name,SPA,SD,CD,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
101110,2019,Los Angeles,1,Tujunga,2,5,7,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1.694,0,0,0,0,0.005,0,0,0,0,0.013,0,0,0,0,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.614,0,0,0,0,12.614
101122,2019,Los Angeles,1,Tujunga,2,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
101210,2019,Los Angeles,1,Tujunga,2,5,7,0,0,0,0,1,3,0,0,0,0,5,0,2,0,0,8.47,0,3.047,0,0,0.025,0,0.046,0,0,0.064,0,0.092,0,0,8.406,0,2.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.517,0,0,0,0,14.517
101220,2019,Los Angeles,1,Tujunga,2,5,7,0,0,0,0,1,5,0,0,2,2,7,1,0,2.851,3.153,11.858,1.196,0,0,0,0.035,0,0,0,0,0.09,0,0,2.851,3.153,11.768,1.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.058,0,0,0,0,24.058
101300,2019,Los Angeles,1,Tujunga,2,5,7,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,5.082,1.196,0,0,0,0.015,0,0,0,0,0.039,0,0,0,0,5.044,1.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.278,0,0,0,0,9.278
101400,2019,Los Angeles,1,Tujunga,2,5,7,0,0,0,0,1,4,0,0,1,3,1,1,3,1.425,4.729,1.694,1.196,4.57,0,0,0.005,0,0.069,0,0,0.013,0,0.137,1.425,4.729,1.681,1.196,4.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.615,0,0,0,0,17.615
102103,2019,Los Angeles,1,Sun Valley,2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102104,2019,Los Angeles,1,Sun Valley,2,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,1.425
102105,2019,Los Angeles,1,Sun Valley,2,5,2,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,23.717,0,0,0,0,0.069,0,0,0,0,0.18,0,0,0,0,23.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.717,0,0,0,0,23.717
102107,2019,Los Angeles,1,Sun Valley,2,5,7,0,0,0,0,1,0,0,0,1,0,3,0,0,1.425,0,5.082,0,0,0,0,0.015,0,0,0,0,0.039,0,0,1.425,0,5.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.508,0,0,0,0,6.508
103101,2019,Los Angeles,1,Sunland,2,5,7,8,0,0,0,1,10,0,0,1,0,0,4,7,1.425,0,0,4.783,10.664,0,0,0,0,0.16,0,0,0,0,0.32,1.425,0,0,4.783,10.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.872,0,0,0,0,26.872
103102,2019,Los Angeles,1,Sunland/Tujunga,2,5,7,0,0,0,0,1,5,0,0,2,1,10,0,0,2.851,1.576,16.941,0,0,0,0,0.05,0,0,0,0,0.129,0,0,2.851,1.576,16.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.368,0,0,0,0,26.368
103200,2019,Los Angeles/Unincorporated,1,Lakeview Terrace/Sunland/Other,2,5,7,10,0,0,0,1,6,0,0,0,3,9,3,2,0,4.729,15.247,3.587,3.047,0,0,0.045,0,0.046,0,0,0.116,0,0.092,0,4.729,15.131,3.587,2.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.609,0,0,0,0,32.609
103300,2019,Los Angeles,1,Shadow Hills,2,5,7,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1.694,1.196,1.523,0,0,0.005,0,0.023,0,0,0.013,0,0.046,0,0,1.681,1.196,1.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.413,0,0,0,0,5.413
103400,2019,Los Angeles,1,Sunland,2,5,7,0,0,0,0,1,0,0,0,9,0,1,1,7,12.828,0,1.694,1.196,10.664,0,0,0.005,0,0.16,0,0,0.013,0,0.32,12.828,0,1.681,1.196,10.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.382,0,0,0,0,26.382
104103,2019,Los Angeles,1,Lakeview Terrace,2,3,7,0,0,0,0,1,0,0,0,1,0,4,0,0,1.425,0,6.776,0,0,0,0,0.02,0,0,0,0,0.052,0,0,1.425,0,6.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202,0,0,0,0,8.202
104105,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3.153,1.694,0,0,0,0,0.005,0,0,0,0,0.013,0,0,0,3.153,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.847,0,0,0,0,4.847
104108,2019,Los Angeles,1,Lakeview Terrace/Pacoima,2,3,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,1.425
104124,2019,Los Angeles/Unincorporated,1,Lakeview Terrace/Unincorporated Kagel/Lopez Canyons,2,3,7,2,0,0,1,1,3,0,0,0,0,0,1,5,0,0,0,1.196,7.617,0,0,0,0,0.114,0,0,0,0,0.229,0,0,0,1.196,7.388,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.813,6,0,0,6,17.813
104201,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,5.082,0,0,0,0,0.015,0,0,0,0,0.039,0,0,0,0,5.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.082,0,0,0,0,6.082
104203,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,4,0,0,0,7,0,0,0,0,11.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.034,0,0,0,0,15.034
104204,2019,Los Angeles,1,Lakeview Terrace/Pacoima,2,3,7,0,0,0,0,1,3,0,0,2,6,5,2,0,2.851,9.458,8.47,2.391,0,0,0,0.025,0,0,0,0,0.064,0,0,2.851,9.458,8.406,2.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,0,26.17
104310,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,19,0,0,1,5,6,23,8,1.425,7.882,10.164,27.5,12.188,0,0,0.03,0,0.183,0,0,0.077,0,0.366,1.425,7.882,10.087,27.5,11.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.159,0,0,0,0,78.159
104320,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3.388,0,0,0,0,0.01,0,0,0,0,0.026,0,0,0,0,3.362,0,0,111,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.388,123,0,0,123,126.39
104401,2019,Los Angeles,1,Pacoima,2,3,7,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56,0,0,0,0,18.56
104403,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,7,0,0,2,1,0,0,2,2.851,1.576,0,0,3.047,0,0,0,0,0.046,0,0,0,0,0.092,2.851,1.576,0,0,2.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.474,0,0,0,0,14.474
104404,2019,Los Angeles,1,Pacoima,2,3,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.976,0,0,0,0,6.976
104500,2019,Los Angeles,1,Pacoima,2,3,7,7,0,0,0,1,2,0,0,3,0,3,0,1,4.276,0,5.082,0,1.523,0,0,0.015,0,0.023,0,0,0.039,0,0.046,4.276,0,5.044,0,1.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.882,0,0,0,0,12.882
104610,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,1,1,0,0,0,1,1,1,1,3,1.425,1.576,1.694,1.196,4.57,0,0,0.005,0,0.069,0,0,0.013,0,0.137,1.425,1.576,1.681,1.196,4.433,0,13,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.462,57,0,0,57,67.462
104620,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,1,0,0,1,1,1,1,0,1.425,1.576,1.694,1.196,0,0,0,0.005,0,0,0,0,0.013,0,0,1.425,1.576,1.681,1.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.891,0,0,0,0,6.891
104701,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,7,0,0,1,1,4,0,0,1.425,1.576,6.776,0,0,0,0,0.02,0,0,0,0,0.052,0,0,1.425,1.576,6.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.778,0,0,0,0,16.778
104703,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,0,0,0,11,2,43,0,0,15.679,3.153,72.845,0,0,0,0,0.213,0,0,0,0,0.554,0,0,15.679,3.153,72.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.676,0,0,0,0,91.676
104704,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,6.776,0,0,0,0,0.02,0,0,0,0,0.052,0,0,0,0,6.725,0,0,0,0,0,0,0,0,0,0,2,8,2,2,6,0,0,0,0,0,0,0,0,6.776,0,16,0,16,22.776
104810,2019,Los Angeles,1,Pacoima,2,3,7,7,0,0,0,1,0,0,0,0,8,3,0,0,0,12.611,5.082,0,0,0,0,0.015,0,0,0,0,0.039,0,0,0,12.611,5.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.693,0,0,0,0,17.693
104821,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,2,0,0,1,4,0,0,0,1.425,6.305,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425,6.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.731,0,0,0,0,9.731
104822,2019,Los Angeles,1,Pacoima,2,3,7,0,0,0,0,1,7,0,0,2,1,2,1,2,2.851,1.576,3.388,1.196,3.047,0,0,0.01,0,0.046,0,0,0.026,0,0.092,2.851,1.576,3.362,1.196,2.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.058,0,0,0,0,19.058
106010,2019,Los Angeles,1,Sylmar,2,5,7,0,0,0,0,1,0,0,0,3,0,4,1,0,4.276,0,6.776,1.196,0,0,0,0.02,0,0,0,0,0.052,0,0,4.276,0,6.725,1.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.248,0,0,0,0,12.248
