tract,Year,City,LACity,Community_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamEncampHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamEncampPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndEncampPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
101110,2020,Los Angeles,1,Tujunga,2,5,7,25,39,28,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
101122,2020,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1.607,3.705,0,0,0,0.063,0.086,0,0,0,0.218,0.329,0,0,0,1.39,3.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.312,0,0,0,0,5.312
101210,2020,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,1,8,0,0,0,0,0,1,4,2,0,1,1.607,7.41,3.978,0,1.42,0.063,0.173,0.086,0,0.019,0.218,0.659,0.31,0,0.066,1.39,6.751,3.668,0,1.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.415,0,0,0,0,22.415
101220,2020,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,15.912,0,0,0,0,0.345,0,0,0,0,1.241,0,0,0,0,14.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.912,0,0,0,0,15.912
101300,2020,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1.989,0,1.42,0,0,0.043,0,0.019,0,0,0.155,0,0.066,0,0,1.834,0,1.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.409,0,0,0,0,3.409
101400,2020,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,2,3,0,0,0,0,0,2,2,1,0,1,3.215,3.704,1.989,0,1.42,0.126,0.086,0.043,0,0.019,0.435,0.33,0.155,0,0.066,2.779,3.376,1.834,0,1.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.328,0,0,0,0,13.328
102103,2020,Los Angeles,1,Shadow Hills,2,5,2,25,39,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102104,2020,Los Angeles,1,Shadow Hills,2,5,2,25,39,28,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,3.215,1.852,0,0,0,0.126,0.043,0,0,0,0.435,0.165,0,0,0,2.779,1.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.067,0,0,0,0,5.067
102105,2020,Los Angeles,1,Sun Valley,2,5,2,18,39,29,0,0,0,2,1,0,0,0,0,0,0,1,6,0,0,0,1.852,11.934,0,0,0,0.043,0.258,0,0,0,0.165,0.931,0,0,0,1.688,11.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.787,0,0,0,0,14.787
102107,2020,Los Angeles,1,Shadow Hills,2,5,7,25,39,28,0,0,0,2,2,0,0,0,0,0,2,2,6,1,0,3.215,3.705,11.934,1.591,0,0.126,0.086,0.258,0.013,0,0.435,0.329,0.931,0.043,0,2.779,3.376,11.003,1.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.444,0,0,0,0,22.444
103101,2020,Los Angeles,1,Sunland,2,5,7,25,39,28,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1.607,0,3.978,0,0,0.063,0,0.086,0,0,0.218,0,0.31,0,0,1.39,0,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.585,0,0,0,0,5.585
103102,2020,Los Angeles,1,Tujunga/Sunland,2,5,7,25,39,28,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,3.705,5.967,0,0,0,0.086,0.129,0,0,0,0.329,0.465,0,0,0,3.376,5.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.672,0,0,0,0,9.672
103200,2020,Los Angeles/Unincorporated,1,Shadow Hills/Lake View Terrace/Sunland/Kagel/Lopez Canyons,2,5,7,25,39,29,0,0,0,4,6,0,0,0,0,0,2,0,2,2,6,3.214,0,3.978,3.181,8.519,0.126,0,0.086,0.025,0.114,0.436,0,0.31,0.086,0.397,2.78,0,3.668,3.095,8.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.893,0,0,0,0,24.893
103300,2020,Los Angeles,1,Shadow Hills,2,5,7,25,39,28,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,1.852,1.989,0,0,0,0.043,0.043,0,0,0,0.165,0.155,0,0,0,1.688,1.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.842,0,0,0,0,5.842
103400,2020,Los Angeles,1,Sunland,2,5,7,25,39,28,0,0,0,2,5,0,0,0,0,0,1,0,3,0,5,1.607,0,5.967,0,7.099,0.063,0,0.129,0,0.095,0.218,0,0.465,0,0.331,1.39,0,5.502,0,6.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.674,0,0,0,0,19.674
104103,2020,Los Angeles,1,Lake View Terrace,2,3,7,18,39,29,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.989,0,0,0,0,0.043,0,0,0,0,0.155,0,0,0,0,1.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.989,0,0,0,0,1.989
104105,2020,Los Angeles,1,Lake View Terrace/Pacoima,2,3,7,18,39,29,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1.607,0,0,1.591,0,0.063,0,0,0.013,0,0.218,0,0,0.043,0,1.39,0,0,1.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.198,0,0,0,0,3.198
104108,2020,Los Angeles,1,Pacoima/Lake View Terrace,2,3,7,18,39,29,0,0,0,3,3,0,0,0,0,0,0,0,0,3,1,0,0,0,4.772,1.42,0,0,0,0.038,0.019,0,0,0,0.13,0.066,0,0,0,4.642,1.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.191,0,0,0,0,9.191
104124,2020,Los Angeles/Unincorporated,1,Lake View Terrace/Kagel/Lopez Canyons,2,3,7,18,39,29,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1.989,0,0,0,0,0.043,0,0,0,0,0.155,0,0,0,0,1.834,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.989,7,0,0,7,10.989
104201,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1.607,0,3.978,0,0,0.063,0,0.086,0,0,0.218,0,0.31,0,0,1.39,0,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.585,0,0,0,0,5.585
104203,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,9.644,5.557,0,0,0,0.377,0.13,0,0,0,1.306,0.494,0,0,0,8.338,5.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.201,0,0,0,0,15.201
104204,2020,Los Angeles,1,Lake View Terrace/Pacoima,2,3,7,18,39,29,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,9.945,0,0,0,0,0.215,0,0,0,0,0.776,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.945,0,0,0,0,9.945
104310,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,2,10,0,0,0,0,0,1,4,9,0,33,1.607,7.409,17.901,0,46.855,0.063,0.173,0.387,0,0.627,0.218,0.659,1.397,0,2.183,1.39,6.752,16.505,0,44.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.774,0,0,0,0,83.774
104320,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,6,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,3.978,0,1.42,0,0,0.086,0,0.019,0,0,0.31,0,0.066,0,0,3.668,0,1.354,117,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.398,120,0,0,120,125.4
104401,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,4,0,0,0,0,0,0,2,3,0,0,0,3.705,5.967,0,0,0,0.086,0.129,0,0,0,0.329,0.465,0,0,0,3.376,5.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.672,0,0,0,0,13.672
104403,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,1,0,0,0,0,0,1,0,2,1,1,1.607,0,3.978,1.591,1.42,0.063,0,0.086,0.013,0.019,0.218,0,0.31,0.043,0.066,1.39,0,3.668,1.547,1.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.596,0,0,0,0,9.596
104404,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,5.967,1.591,0,0,0,0.129,0.013,0,0,0,0.465,0.043,0,0,0,5.502,1.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.558,0,0,0,0,8.558
104500,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,2,0,0,1,2,0,0,0,0,0,2,1,1,0,0,3.215,1.852,1.989,0,0,0.126,0.043,0.043,0,0,0.435,0.165,0.155,0,0,2.779,1.688,1.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.056,0,0,0,0,9.056
104610,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1.852,5.967,0,0,0,0.043,0.129,0,0,0,0.165,0.465,0,0,0,1.688,5.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,0,0,0,0,7.82
104620,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3.978,0,0,0,0,0.086,0,0,0,0,0.31,0,0,0,0,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.978,0,0,0,0,3.978
104701,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1.852,7.956,0,0,0,0.043,0.172,0,0,0,0.165,0.621,0,0,0,1.688,7.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.809,0,0,0,0,9.809
104703,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,22,0,0,1,3,0,0,0,0,0,1,1,21,0,2,1.607,1.852,41.77,0,2.84,0.063,0.043,0.905,0,0.038,0.218,0.165,3.258,0,0.132,1.39,1.688,38.512,0,2.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.07,0,0,0,0,51.07
104704,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,1,1,1,0,0,0,0,0,0,0,7,1,0,0,0,13.923,1.591,0,0,0,0.302,0.013,0,0,0,1.086,0.043,0,0,0,12.837,1.547,0,0,0,0,0,0,0,0,3,2,8,2,2,8,0,0,0,0,0,0,0,0,16.514,0,21,0,21,37.514
104810,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,3,0,0,0,0,0,0,0,5,0,0,0,0,9.945,0,0,0,0,0.215,0,0,0,0,0.776,0,0,0,0,9.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.945,0,0,0,0,12.945
104821,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
104822,2020,Los Angeles,1,Pacoima,2,3,7,18,39,29,0,0,0,1,6,0,0,0,0,0,0,0,2,0,2,0,0,3.978,0,2.84,0,0,0.086,0,0.038,0,0,0.31,0,0.132,0,0,3.668,0,2.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.818,0,0,0,0,12.818
106010,2020,Los Angeles,1,Sylmar,2,5,7,18,39,29,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,3.705,3.978,0,0,0,0.086,0.086,0,0,0,0.329,0.31,0,0,0,3.376,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.683,0,0,0,0,7.683
106020,2020,Los Angeles,1,Sylmar,2,3,7,18,39,29,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,3.214,1.852,1.989,0,0,0.126,0.043,0.043,0,0,0.436,0.165,0.155,0,0,2.78,1.688,1.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.056,0,0,0,0,7.056
106111,2020,Los Angeles,1,Sylmar,2,3,7,18,39,29,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1.852,3.978,0,0,0,0.043,0.086,0,0,0,0.165,0.31,0,0,0,1.688,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.831,0,0,0,0,5.831
106112,2020,Los Angeles,1,Sylmar,2,3,7,18,39,29,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,3.978,0,0,0,0,0.086,0,0,0,0,0.31,0,0,0,0,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.978,0,0,0,0,5.978
106113,2020,Los Angeles,1,Sylmar,2,3,7,18,39,29,2,0,0,1,0,0,0,0,0,0,1,2,2,0,0,1.607,3.705,3.978,0,0,0.063,0.086,0.086,0,0,0.218,0.329,0.31,0,0,1.39,3.376,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29,0,0,0,0,9.29
