tract_split,Year,City,LACity,Community_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,SheltHmisCt,DemogSurveyAny,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totMSS,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMSSPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMSSHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMSSPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMSSPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
101110,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2.98,1.456,0,0,0,0.037,0.019,0,0,0,0.114,0.077,0,0,0,2.866,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.436,0,0,0,0,4.436
101122a,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1.475,0,1.456,0,0,0.047,0,0.019,0,0,0.152,0,0.077,0,0,1.323,0,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,0,5.93
101122b,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.49,0,0,0,0,0.018,0,0,0,0,0.057,0,0,0,0,1.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,1.49
101210,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,1,5,0,0,0,0,0,0,2,1,0,0,0,2.98,1.456,0,0,0,0.037,0.019,0,0,0,0.114,0.077,0,0,0,2.866,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.436,0,0,0,0,9.436
101220,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101300a,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,10,0,1,0,1,3,0,0,0,0,0,3,0,3,0,1,4.424,0,4.367,0,1.685,0.14,0,0.057,0,0.004,0.456,0,0.232,0,0.011,3.969,0,4.135,0,1.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.476,0,0,0,0,13.476
101300b,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,2.98,1.456,0,0,0,0.037,0.019,0,0,0,0.114,0.077,0,0,0,2.866,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.436,0,0,0,0,5.436
101400a,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,1,6,0,0,0,0,0,0,0,0,4,1,0,0,0,5.035,1.685,0,0,0,0.008,0.004,0,0,0,0.026,0.011,0,0,0,5.008,1.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72,0,0,0,0,12.72
101400b,2022,Los Angeles,1,Tujunga,2,5,7,25,39,28,0,0,0,0,1,20,0,0,0,0,0,3,0,6,3,1,4.424,0,8.734,3.776,1.685,0.14,0,0.114,0.006,0.004,0.456,0,0.465,0.02,0.011,3.969,0,8.269,3.756,1.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.619,0,0,0,0,38.619
102103,2022,Los Angeles,1,Shadow Hills,2,5,2,25,39,28,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
