tract_split,Year,City,LACity,Community_Name,SPA,sd,cd,ca_ssd,ca_sad,us_cd,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totEncamp,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totESPeople,totTHPeople,totSHPeople,totSheltPeople
101110,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101122,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101220,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101221,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101222,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101300,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101400,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,10,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102103_q1,2023,Los Angeles city,1,Los Angeles city,2,5,2,20,44,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102103_q2,2023,Los Angeles city,1,Los Angeles city,2,5,2,20,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102103_q3,2023,Los Angeles city,1,Los Angeles city,2,5,2,20,44,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102104_q1,2023,Los Angeles city,1,Los Angeles city,2,5,2,20,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102104_q2,2023,Los Angeles city,1,Los Angeles city,2,5,2,20,44,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102105,2023,Los Angeles city,1,Los Angeles city,2,5,2,20,43,29,2,0,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102107_xw1,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102107_xw2,2023,,2,Los Angeles city,2,5,0,20,44,30,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103101_q1,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103101_q2,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,1,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103102,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,3,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103201_q1,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103201_q2,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,5,0,0,0,0,0,4,1,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103202_q1,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,15,0,0,0,0,0,4,2,5,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103202_q2,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103300,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,1,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103401,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103402,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,44,30,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104103,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,43,29,9,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104105_q1,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104105_q2,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,1,0,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y1,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,2,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y2,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y3,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,43,29,12,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y4,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,43,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw1,2023,,2,Unincorporated - Kagel/Lopez Canyons,2,5,0,20,40,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw2,2023,,2,Unincorporated - Kagel/Lopez Canyons,2,5,0,20,43,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw3,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,43,29,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
104124_xw4,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,43,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw5,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104201,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,21,0,0,0,0,0,15,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104203,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104204_xyw1,2023,,2,Unincorporated - Kagel/Lopez Canyons,2,5,0,20,43,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104204_xyw2,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104204_xyw3,2023,Los Angeles city,1,Los Angeles city,2,5,7,20,43,29,8,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104310,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,6,0,0,0,0,0,26,8,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104321,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104322,2023,Los Angeles city,1,Los Angeles city,2,3,7,20,43,29,1,0,0,0,0,0,1,2,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
