tract_split,Year,City,LACity,Community_Name,SPA,sd,cd,ca_ssd,us_cd,ca_sad,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totEncamp,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totESPeople,totTHPeople,totSHPeople,totSheltPeople
101110,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,7,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101122,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101220,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101221,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101222,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,3,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101300,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101400,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102103_q1,2024,Los Angeles city,1,Los Angeles city,2,5,2,20,29,44,36,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102103_q2,2024,Los Angeles city,1,Los Angeles city,2,5,2,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102103_q3,2024,Los Angeles city,1,Los Angeles city,2,5,2,20,30,44,12,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102104_q1,2024,Los Angeles city,1,Los Angeles city,2,5,2,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102104_q2,2024,Los Angeles city,1,Los Angeles city,2,5,2,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102105,2024,Los Angeles city,1,Los Angeles city,2,5,2,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102107_xw1,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102107_xw2,2024,,2,Los Angeles city,2,5,0,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103101_q1,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103101_q2,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103102,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103201_q1,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103201_q2,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,9,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103202_q1,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,1,0,0,0,0,0,5,1,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103202_q2,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103300,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,2,0,0,0,0,0,4,1,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103401,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103402,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,44,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104103,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,29,43,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104105_q1,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104105_q2,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,5,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y1,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,4,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y2,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y3,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,29,43,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108_y4,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,29,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw1,2024,,2,Unincorporated - Kagel/Lopez Canyons,2,5,0,20,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw2,2024,,2,Unincorporated - Kagel/Lopez Canyons,2,5,0,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw3,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,29,43,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11
